CNA,OverallAverageScore,CurrentRank,CalculatedRank,Difference,TotalCVEs,RecentCVEs,Percentile
mongodb,90.0,106,1,105,19,19,65.1
redhat,89.89,19,2,17,181,181,94.0
GitLab,89.15,34,3,31,94,94,89.0
ibm,88.01,16,4,12,346,346,95.0
palo_alto,87.8,226,5,221,41,41,25.2
trendmicro,86.88,21,6,15,40,40,93.4
fortinet,85.69,11,7,4,102,102,96.7
harborist,85.0,104,8,96,3,3,65.8
EEF,85.0,240,9,231,2,2,20.6
seal,85.0,297,10,287,1,1,1.7
Digi,85.0,147,11,136,1,1,51.5
JFROG,84.44,120,12,108,9,9,60.5
Crestron,83.75,220,13,207,4,4,27.2
Sonatype,83.75,255,14,241,4,4,15.6
Ping Identity,83.75,177,15,162,4,4,41.5
Checkmarx,83.33,113,16,97,3,3,62.8
sba-research,82.5,193,17,176,4,4,36.2
ConcreteCMS,82.5,134,18,116,2,2,55.8
HeroDevs,81.67,84,19,65,6,6,72.4
PSF,81.5,112,20,92,10,10,63.1
GovTech CSG,81.39,201,21,180,18,18,33.6
redhat-cnalr,81.25,42,22,20,4,4,86.4
eclipse,81.14,58,23,35,22,22,81.1
fedora,81.03,132,24,108,29,29,56.5
VulnCheck,80.83,48,25,23,138,138,84.4
samsung.tv_appliance,80.83,210,26,184,6,6,30.6
Checkmk,80.42,40,27,13,12,12,87.0
VulDB,80.25,25,28,-3,3120,3120,92.0
CERT-PL,80.23,54,29,25,66,66,82.4
Patchstack,80.0,131,30,101,3880,3880,56.8
GitHub_M,80.0,153,31,122,1289,1289,49.5
zdi,80.0,27,32,-5,277,277,91.4
siemens,80.0,7,33,-26,186,186,98.0
icscert,80.0,67,34,33,183,183,78.1
INCIBE,80.0,41,35,6,161,161,86.7
intel,80.0,12,36,-24,143,143,96.3
jpcert,80.0,155,37,118,125,125,48.8
sap,80.0,162,38,124,121,121,46.5
dell,80.0,176,39,137,108,108,41.9
Nozomi,80.0,206,40,166,68,68,31.9
CERTVDE,80.0,96,41,55,66,66,68.4
twcert,80.0,59,42,17,60,60,80.7
ABB,80.0,37,43,-6,60,60,88.0
OpenHarmony,80.0,158,44,114,53,53,47.8
nvidia,80.0,200,45,155,52,52,33.9
TR-CERT,80.0,30,46,-16,49,49,90.4
SICK AG,80.0,204,47,157,48,48,32.6
Mattermost,80.0,73,48,25,48,48,76.1
AMD,80.0,249,49,200,38,38,17.6
JetBrains,80.0,171,50,121,37,37,43.5
schneider,80.0,61,51,10,37,37,80.1
qnap,80.0,181,52,129,36,36,40.2
ivanti,80.0,101,53,48,35,35,66.8
3DS,80.0,111,54,57,33,33,63.5
f5,80.0,157,55,102,30,30,48.2
Esri,80.0,45,56,-11,28,28,85.4
autodesk,80.0,89,57,32,26,26,70.8
elastic,80.0,159,58,101,24,24,47.5
talos,80.0,165,59,106,23,23,45.5
CERT-In,80.0,90,60,30,23,23,70.4
lenovo,80.0,38,61,-23,21,21,87.7
Axis,80.0,180,62,118,20,20,40.5
SEL,80.0,198,63,135,19,19,34.6
snyk,80.0,92,64,28,19,19,69.8
Google,80.0,63,65,-2,19,19,79.4
OpenText,80.0,13,66,-53,18,18,96.0
Honeywell,80.0,32,67,-35,18,18,89.7
brocade,80.0,99,68,31,17,17,67.4
HITVAN,80.0,191,69,122,17,17,36.9
Zohocorp,80.0,141,70,71,16,16,53.5
bosch,80.0,187,71,116,16,16,38.2
AHA,80.0,65,72,-7,16,16,78.7
AMZN,80.0,33,73,-40,15,15,89.4
Acronis,80.0,178,74,104,15,15,41.2
ASRG,80.0,105,75,30,14,14,65.4
zte,80.0,196,76,120,14,14,35.2
INCD,80.0,199,77,122,14,14,34.2
Silabs,80.0,145,78,67,14,14,52.2
synology,80.0,229,79,150,13,13,24.3
DIVD,80.0,224,80,144,12,12,25.9
NI,80.0,23,81,-58,11,11,92.7
Zyxel,80.0,109,82,27,11,11,64.1
hp,80.0,87,83,4,11,11,71.4
Hitachi,80.0,79,84,-5,11,11,74.1
Canon,80.0,94,85,9,10,10,69.1
ASUS,80.0,44,86,-42,10,10,85.7
GRAFANA,80.0,47,87,-40,10,10,84.7
kubernetes,80.0,189,88,101,10,10,37.5
SolarWinds,80.0,216,89,127,10,10,28.6
cloudflare,80.0,107,90,17,10,10,64.8
ASR,80.0,276,91,185,10,10,8.6
Xerox,80.0,271,92,179,10,10,10.3
Mautic,80.0,6,93,-87,9,9,98.3
HashiCorp,80.0,143,94,49,9,9,52.8
BlackDuck,80.0,286,95,191,9,9,5.3
ZUSO ART,80.0,169,96,73,9,9,44.2
Sophos,80.0,116,97,19,9,9,61.8
NLOK,80.0,241,98,143,8,8,20.3
isc,80.0,166,99,67,8,8,45.2
Xiaomi,80.0,288,100,188,8,8,4.7
cirosec,80.0,49,101,-52,8,8,84.1
M-Files Corporation,80.0,75,102,-27,8,8,75.4
Gridware,80.0,68,103,-35,8,8,77.7
Fluid Attacks,80.0,203,104,99,8,8,32.9
Lexmark,80.0,267,105,162,7,7,11.6
Mitsubishi,80.0,130,106,24,7,7,57.1
Liferay,80.0,71,107,-36,7,7,76.7
OTRS,80.0,188,108,80,7,7,37.9
trellix,80.0,129,109,20,7,7,57.5
GitHub_P,80.0,117,110,7,7,7,61.5
Bitdefender,80.0,80,111,-31,7,7,73.8
