CNA,OverallAverageScore,CurrentRank,ExpectedRank,Difference,TotalCVEs,RecentCVEs,Percentile
mongodb,90.0,1,1,,19,19,100.0
redhat,89.89,2,2,,181,181,99.7
GitLab,89.15,3,3,,94,94,99.3
ibm,88.01,4,4,,346,346,99.0
palo_alto,87.8,5,5,,41,41,98.7
trendmicro,86.88,6,6,,40,40,98.3
fortinet,85.69,7,7,,102,102,98.0
harborist,85.0,8,8,,3,3,97.7
EEF,85.0,9,9,,2,2,97.3
seal,85.0,10,10,,1,1,97.0
Digi,85.0,10,11,-1,1,1,97.0
JFROG,84.44,12,12,,9,9,96.3
Crestron,83.75,13,13,,4,4,96.0
Sonatype,83.75,13,14,-1,4,4,96.0
Ping Identity,83.75,13,15,-2,4,4,96.0
Checkmarx,83.33,16,16,,3,3,95.0
sba-research,82.5,17,17,,4,4,94.7
ConcreteCMS,82.5,18,18,,2,2,94.4
HeroDevs,81.67,19,19,,6,6,94.0
PSF,81.5,20,20,,10,10,93.7
GovTech CSG,81.39,21,21,,18,18,93.4
redhat-cnalr,81.25,22,22,,4,4,93.0
eclipse,81.14,23,23,,22,22,92.7
fedora,81.03,24,24,,29,29,92.4
VulnCheck,80.83,25,25,,138,138,92.0
samsung.tv_appliance,80.83,26,26,,6,6,91.7
Checkmk,80.42,27,27,,12,12,91.4
VulDB,80.25,28,28,,3120,3120,91.0
CERT-PL,80.23,29,29,,66,66,90.7
Patchstack,80.0,30,30,,3880,3880,90.4
GitHub_M,80.0,31,31,,1289,1289,90.0
zdi,80.0,32,32,,277,277,89.7
siemens,80.0,33,33,,186,186,89.4
icscert,80.0,34,34,,183,183,89.0
INCIBE,80.0,35,35,,161,161,88.7
intel,80.0,36,36,,143,143,88.4
jpcert,80.0,37,37,,125,125,88.0
sap,80.0,38,38,,121,121,87.7
dell,80.0,39,39,,108,108,87.4
Nozomi,80.0,40,40,,68,68,87.0
CERTVDE,80.0,41,41,,66,66,86.7
twcert,80.0,42,42,,60,60,86.4
ABB,80.0,42,43,-1,60,60,86.4
OpenHarmony,80.0,44,44,,53,53,85.7
nvidia,80.0,45,45,,52,52,85.4
TR-CERT,80.0,46,46,,49,49,85.0
SICK AG,80.0,47,47,,48,48,84.7
Mattermost,80.0,47,48,-1,48,48,84.7
AMD,80.0,49,49,,38,38,84.1
JetBrains,80.0,50,50,,37,37,83.7
schneider,80.0,50,51,-1,37,37,83.7
qnap,80.0,52,52,,36,36,83.1
ivanti,80.0,53,53,,35,35,82.7
3DS,80.0,54,54,,33,33,82.4
f5,80.0,55,55,,30,30,82.1
Esri,80.0,56,56,,28,28,81.7
autodesk,80.0,57,57,,26,26,81.4
elastic,80.0,58,58,,24,24,81.1
talos,80.0,59,59,,23,23,80.7
CERT-In,80.0,59,60,-1,23,23,80.7
lenovo,80.0,61,61,,21,21,80.1
Axis,80.0,62,62,,20,20,79.7
SEL,80.0,63,63,,19,19,79.4
snyk,80.0,63,64,-1,19,19,79.4
Google,80.0,63,65,-2,19,19,79.4
OpenText,80.0,66,66,,18,18,78.4
Honeywell,80.0,66,67,-1,18,18,78.4
brocade,80.0,68,68,,17,17,77.7
HITVAN,80.0,68,69,-1,17,17,77.7
Zohocorp,80.0,70,70,,16,16,77.1
bosch,80.0,70,71,-1,16,16,77.1
AHA,80.0,70,72,-2,16,16,77.1
AMZN,80.0,73,73,,15,15,76.1
Acronis,80.0,73,74,-1,15,15,76.1
ASRG,80.0,75,75,,14,14,75.4
zte,80.0,75,76,-1,14,14,75.4
INCD,80.0,75,77,-2,14,14,75.4
Silabs,80.0,75,78,-3,14,14,75.4
synology,80.0,79,79,,13,13,74.1
DIVD,80.0,80,80,,12,12,73.8
NI,80.0,81,81,,11,11,73.4
Zyxel,80.0,81,82,-1,11,11,73.4
hp,80.0,81,83,-2,11,11,73.4
Hitachi,80.0,81,84,-3,11,11,73.4
Canon,80.0,85,85,,10,10,72.1
ASUS,80.0,85,86,-1,10,10,72.1
GRAFANA,80.0,85,87,-2,10,10,72.1
